gig_id,date,venue,venue_mbid,city,country,festival,event_mbid,status,notes
g160501,2016-05-01,Dom Cultury,8f20e9a1-63a0-4356-9589-51eb474341df,Perm,Russia,,62898fb9-186b-4b24-b229-be0f316e3bcf,,
g160612,2016-06-12,The Place,5cf42ad9-ef8f-4590-83dd-89659c937436,Saint-Petersburg,Russia,Electric Trim Fest,07d4f59c-a960-4e22-adf3-2fef87cea1f1,,
g160617,2016-06-17,16 Tons,7e9afe9d-e59c-49d5-a09e-d1b20eff892d,Moscow,Russia,,f5d1769c-eb6b-4007-a82b-96f178713a00,,
g160618,2016-06-18,Ionoteka,1592b2f8-74ea-443b-9071-561b056723c0,Saint-Petersburg,Russia,Ionosfear no 33,b182434a-2409-4377-a780-231c2866cbda,,
g160702,2016-07-02,Elagin Park,cc0aa8fb-4d5c-47bc-a420-7de1cf8cff6f,Saint-Petersburg,Russia,Stereoleto 2016,412767b9-2035-4eff-bf89-338d872bab2f,,
g160813,2016-08-13,DOT,bc1195e9-df38-4780-8ce9-9e2659fd20d6,Saint-Petersburg,Russia,Post-fest 2016,2191a60f-5057-4332-a940-dc5a68b6e50d,,
g160902,2016-09-02,Mezzanine,,Kiev,Ukraine,,,,
g160903,2016-09-03,Stara Fortetsya,,Kamianets-Podilskyi,Ukraine,Respublica 2016,,,
g160904,2016-09-04,L'uft Underground Club,,Lviv,Ukraine,,,,
g160906,2016-09-06,Klub CH25,,Warsaw,Poland,,,,
g160908,2016-09-08,Klubovna Dejvice,,Prague,Czech Republic,,,,
g160909,2016-09-09,Tiefgrund,,Berlin,Germany,,,,
g160911,2016-09-11,DOOR,,Dordrecht,Netherlands,,,,
g160913,2016-09-13,De Gym,,Groningen,Netherlands,,,,
g160914,2016-09-14,Loophole,7aa7e5bf-54dc-4e52-b350-7f9c1c210fb2,Berlin,Germany,,,,
g160916,2016-09-16,,,Katowice,Poland,,,,
g160917,2016-09-17,Autograf Klub,,Wrocław,Poland,,,,
g160918,2016-09-18,Bar Hooligan,,Minsk,Belarus,,,,
g161014,2016-10-14,,,Moscow,Russia,Mercedes-Benz Fashion Week,,,
g161102,2016-11-02,16 Tons,7e9afe9d-e59c-49d5-a09e-d1b20eff892d,Moscow,Russia,XVII Golden Gargoyle Award Ceremony,,,
g161105,2016-11-05,16 Tons,7e9afe9d-e59c-49d5-a09e-d1b20eff892d,Moscow,Russia,,9b393a2d-28a5-4984-8084-feae5dec8610,,
g161112,2016-11-12,Erarta Stage,a5c17802-82d3-4074-a7ed-e432ef11313f,Saint-Petersburg,Russia,Rave in the Museum,ccbadb55-08f2-47d9-8a5e-6e6667c7184b,,
g170309,2017-03-09,Kosmonavt,,Saint-Petersburg,Russia,,,,
g170331,2017-03-31,Nabaklab,,Riga,Latvia,,,,
g170526,2017-05-26,Bar Hooligan,,Minsk,Belarus,,,,
g170527,2017-05-27,Atlas,,Kiev,Ukraine,Icecream Festival 2017,,,
