status,title,url,uploader,gig_id,content_type,content,notes
,SHORTPARIS [5] @ Street Art Museum 19.09.15,https://www.youtube.com/watch?v=z1S0eQdAutA,Елена,g150919,Multiple Songs,Your Queen||Сын,
,SHORTPARIS [1] @ Street Art Museum 19.09.15,https://www.youtube.com/watch?v=g84t7VCaKlU,Елена,g150919,Multiple Songs,Devil||Ma Soeur,
,Shortparis [4] @ Street Art Museum 19.09.15,https://www.youtube.com/watch?v=YK-jIrHkmSA,Елена,g150919,Song,,
,SHORTPARIS на фестивале ИоноСфера в Зале Ожидания,https://www.youtube.com/watch?v=UPTUd_LSO4g,Денис Морозов,g151030,Full Set,,
,SHORTPARIS на фестивале ИоноСфера,https://www.youtube.com/watch?v=1Wm0_E7hq7M,Денис Морозов,g151030,Full Set,,
,SHORTPARIS [5] @ ClubZal (Зал Ожидания) 30.10.15,https://www.youtube.com/watch?v=tPTua5ZxAL4,Елена,g151030,Song,Family's White Silk,
,SHORTPARIS // Live at bbt showcase,https://www.youtube.com/watch?v=uNE0uip6CWU,Денис Морозов,g151112,Full Set,,
,SHORTPARIS [6] @ MOD Club 21.11.2015,https://www.youtube.com/watch?v=u_KnIVx0Ex4,Елена,g151112,Song,Your Queen,
,SHORTPARIS [2] @ MOD Club 21.11.2015,https://www.youtube.com/watch?v=TlP97roF-kw,Елена,g151112,Song,Любовь,
,SHORTPARIS [1] @ MOD Club 21.11.2015,https://www.youtube.com/watch?v=apH70arCJnA,Елена,g151112,Song,,
,SHORTPARIS [7] @ MOD Club 21.11.2015,https://www.youtube.com/watch?v=0nHDWTAYPH8,Елена,g151112,Song,Pink Whale,
,SHORTPARIS [3] @ MOD Club 21.11.2015,https://www.youtube.com/watch?v=KNtCn4fzfKY,Елена,g151112,Song,Devil,
,SHORTPARIS [5] @ MOD Club 21.11.2015,https://www.youtube.com/watch?v=uG0U956ehXQ,Елена,g151112,Song,Новокузнецк,
,Shortparis - 2015.12.03 - live in Brooklyn club,https://www.youtube.com/watch?v=Hu0bmbSOVcY,Антон Родионов,g151203,Full Set,,
,"Shortparis - Новокузнецк (Live @ Moscow, Brooklyn - 03.12.2015)",https://www.youtube.com/watch?v=v80VxXWgeMg,exceptwindandwaves,g151203,Song,Новокузнецк,
,"Shortparis - Ma Soeur (Live @ Moscow, Brooklyn - 03.12.2015)",https://www.youtube.com/watch?v=LwWhqw2CPWM,exceptwindandwaves,g151203,Song,Ma Soeur,
,SHORTPARIS // Live at SKIF XIX,https://www.youtube.com/watch?v=z-_1mPgTxpo,Денис Морозов,g151205,Full Set,,
,SHORTPARIS @ SKIF XIX (Центр Курехина) 05.12.15,https://www.youtube.com/watch?v=zFWmd9Sz1zY,Елена,g151205,Full Set,,
,"Shortparis - Новокузнецк (Live @ Moscow, 16 Tonn - 19.03.2016)",https://www.youtube.com/watch?v=HYpyAVRpCEk,exceptwindandwaves,g160319,Song,Новокузнецк,
,"Shortparis - Mal à la tête (Live @ Moscow, 16 Tonn - 19.03.2016)",https://www.youtube.com/watch?v=6v2Rsrby-E4,exceptwindandwaves,g160319,Song,Ma Soeur,
,SHORTPARIS - Amsterdam / St.Trope / Too Too / Новокузнецк,https://www.youtube.com/watch?v=uMxiKXnJMAw,Денис Морозов,g160324,Multiple Songs,Amsterdam||St. Tropez||ТуТу||Новокузнецк,
,SHORTPARIS // XxxX LIVE,https://www.youtube.com/watch?v=53GaWbv383g,Денис Морозов,g160324,Full Set,,
,SHORTPARIS - Ma Sœur (Mal à la tête) / Simons / Love Is Found (Sade cover),https://www.youtube.com/watch?v=7RLW-Mw9Xh0,Денис Морозов,g160324,Multiple Songs,Ma Soeur||Simons||Love Is Found (Sade cover),
,SHORTPARIS @ XxxX 24/03/2016,https://www.youtube.com/watch?v=mdMWnrc7OB8,Елена,g160324,Full Set,,
,"Shortparis - Simons (Live @ Moscow, Сады Бабилона - 23.04.2016)",https://www.youtube.com/watch?v=n8S3rY0gwW8,exceptwindandwaves,g160423,Song,Simons,
,"Shortparis - Новокузнецк (Live @ Moscow, Сады Бабилона - 23.04.2016",https://www.youtube.com/watch?v=Vep39iopjQA,exceptwindandwaves,g160423,Song,Новокузнецк,
,Shortparis in New Bar Ekaterinburg,https://www.youtube.com/watch?v=thiwsBmYewI,Владимир Козионов,g160429,Song,Your Queen,
,SHORTPARIS // Live at Electric Trim Fest,https://www.youtube.com/watch?v=c2FZbV_QISc,Денис Морозов,g160612,Full Set,,
,SHORTPARIS // Live at ИоноСфера,https://www.youtube.com/watch?v=4jiWwB4rYhg,Денис Морозов,g160618,Full Set,,
,SHORTPARIS // Live at ПОСТ-ФЕСТ 2016,https://www.youtube.com/watch?v=MuprD-8v3Eo,Денис Морозов,g160813,Full Set,,
,Shortparis (01) (13.08.16),https://www.youtube.com/watch?v=P8J7VHBg1AM,Orange Zmiy,g160813,Song,Любовь,English lyrics
,Shortparis (02) (13.08.16),https://www.youtube.com/watch?v=Vbw8zQf95DE,Orange Zmiy,g160813,Song,Что-то особое во мне,English lyrics
,Shortparis (03) (13.08.16),https://www.youtube.com/watch?v=JzXcY9ltHhI,Orange Zmiy,g160813,Song,,
,Shortparis (04) (13.08.16),https://www.youtube.com/watch?v=tf8s97Ao7ZE,Orange Zmiy,g160813,Song,Сын,
,Shortparis (05) (13.08.16),https://www.youtube.com/watch?v=CRw7AQnLYOc,Orange Zmiy,g160813,Song,St. Tropez,
,SHORTPARIS @ DOT 13/08/2016,https://www.youtube.com/watch?v=U8WMIyGsPR8,Елена,g160813,Full Set,,
,"Shortparis - Your Queen, Respublica fest 2016",https://www.youtube.com/watch?v=BB1H7pX9w_8,Small SeaTide,g160903,Song,Your Queen,
,SAINT-TOKYO and Shortparis,https://www.youtube.com/watch?v=A1idPKmStXU,Masha_staffi,g161014,Multiple Songs,,Accompanying runway show at Mercedez-Benz fashion week
,Saint-Tokyo S/S 2017 - Mercedes-Benz Fashion Week Russia,https://vimeo.com/189103633,DEPESHA,g161014,Multiple Songs,,Accompanying runway show at Mercedez-Benz fashion week
,"Shortparis - Amsterdam (Live at 16Tons, Moscow 05.11.2016)",https://www.youtube.com/watch?v=FtG3nB6er24,Darа a.m.,g161105,Song,Amsterdam,
,"SHORTPARIS - 12.11.2016@Эрарта , Петербург",https://www.youtube.com/watch?v=i9VE9LVW8NQ,MITIN1965,g161112,Full Set,,
,"SHORTPARIS // ""Пасха"" в Космонавте",https://www.youtube.com/watch?v=yWORCBB0E5U,Денис Морозов,g170309,Full Set,,
,"SHORTPARIS - 09.03.2017@Cosmonavt, Петербург",https://www.youtube.com/watch?v=Rca10ucoEr0,MITIN1965,g170309,Full Set,,
,Shortparis - 2 - Ma Sœur (Mal à la tête) - Live@Atlas [27.05.2017] Icecream Fest (multicam),https://www.youtube.com/watch?v=hvq15jpGH9A,neformat,g170527,Song,Ma Soeur,
,Shortparis - 1 - Your Queen - Live@Atlas [27.05.2017] Icecream Fest,https://www.youtube.com/watch?v=9vBjSd1qQXg&list=PLovgcmvA_U2H5robsZhkAaTEcCeqt6o3g,neformat,g170527,Song,Your Queen,
,Shortparis - 3 - [New Song 1] - Live@Atlas [27.05.2017] Icecream Fest (multicam),https://www.youtube.com/watch?v=WJQfHhrTxPg,neformat,g170527,Song,Отвечай за слова,
,Shortparis - 4 - Что-то особое во мне - Live@Atlas [27.05.2017] Icecream Fest (multicam),https://www.youtube.com/watch?v=tUNjOmRe55s,neformat,g170527,Song,Что-то особое во мне,
,Shortparis - 5 - ТуТу - Live@Atlas [27.05.2017] Icecream Fest,https://www.youtube.com/watch?v=emxh1S_03K0,neformat,g170527,Song,ТуТу,
,Shortparis - 6 - Любовь - Live@Atlas [27.05.2017] Icecream Fest,https://www.youtube.com/watch?v=2s45R_PJM1Q,neformat,g170527,Song,Любовь,
,"Shortparis - 7 - Новокузнецк - Live@Atlas, Kiev [27.05.2017] Icecream Fest",https://www.youtube.com/watch?v=JaAsBtCpmQ8,neformat,g170527,Song,Новокузнецк,
,"Shortparis - 8 - Раз, два, три - Live@Atlas [27.05.2017] Icecream Fest",https://www.youtube.com/watch?v=sOHYleUIwIc,neformat,g170527,Song,"Раз, два, три",
,Shortparis - 9 - [New Song 2] - Live@Atlas [27.05.2017] Icecream Fest,https://www.youtube.com/watch?v=UbvvlqDK_5U,neformat,g170527,Song,Только хуже стало,
,Shortparis - Новокузнецк (live @ Rafinad Strip Club),https://www.youtube.com/watch?v=rtfz6DJcTtw,Тементий Пронов,g170528,Song,Новокузнецк,
,"Shortparis - Что-то Особое Во Мне (Live @ Moscow, Aglomerat - 02.06.2017)",https://www.youtube.com/watch?v=nyjPLUt9J6o,exceptwindandwaves,g170602,Song,Что-то особое во мне,
,"Shortparis - Любовь (Live @ Moscow, Aglomerat - 02.06.2017)",https://www.youtube.com/watch?v=sHaMk-YmiTk,exceptwindandwaves,g170602,Song,Любовь,
,"Shortparis - Новокузнецк (Live @ Moscow, Aglomerat - 02.06.2017)",https://www.youtube.com/watch?v=5B1ZNHXGY6E,exceptwindandwaves,g170602,Song,Новокузнецк,
,"Shortparis - Ma Soeur (Live @ Moscow, Aglomerat - 02.06.2017)",https://www.youtube.com/watch?v=auOR75ydgIw,exceptwindandwaves,g170602,Song,Ma Soeur,
,SHORTPARIS в Бертгольд Центре,https://www.youtube.com/watch?v=X782DLFDjZs,Денис Морозов,g170610,Full Set,,
,"SHORTPARIS - 10. 06.2017@ Berthold Centre, Петербург",https://www.youtube.com/watch?v=drnlgOM0QC0,MITIN1965,g170610,Full Set,,
,Shortparis Respublika 2017,https://www.youtube.com/watch?v=-CImjGxQ1Ik,Ігор Семенюк,g170903,Song,,
,Shortparis - Amsterdam (live in Kaliningrad 16.09.2017),https://www.youtube.com/watch?v=13Bk1GJ1gFQ,NecrodevilEvilous,g170916,Song,Amsterdam,
,"Shortparis - YQueen (live in Kaliningrad, 16.09.2017)",https://www.youtube.com/watch?v=8acvqREB0GI,NecrodevilEvilous,g170916,Song,Your Queen,
,Shortparis - ТуТу (концовка) + Новокузнецк (live in Kaliningrad 16.09.2017),https://www.youtube.com/watch?v=HRWDCLKwIHM,NecrodevilEvilous,g170916,Song,Новокузнецк,
,SHORTPARIS // Live at ERARTA,https://www.youtube.com/watch?v=IqFzCKQ9fJk,Денис Морозов,g171112,Full Set,,
,"SHORTPARIS -12.11.2017@Эрарта, Петербург",https://www.youtube.com/watch?v=_SZzxtRazD0,MITIN1965,g171112,Full Set,,
,SHORTPARIS // Live at OPERA,https://www.youtube.com/watch?v=xkuEL1f7QLM,Денис Морозов,g180127,Full Set,,
,SHORTPARIS - Ту Ту / Новокузнецк,https://www.youtube.com/watch?v=0BRpeRp2aN4,Денис Морозов,g180127,Multiple Songs,ТуТу||Новокузнецк,
