gig_id,url,type,archive_service
g180604,https://www.film.ru/photos/v-moskve-sostoyalas-premera-filma-leto,Photo Gallery,Wayback
g180614,http://www.sobaka.ru/city/city/74535,Press Release,
g180626,https://www.instagram.com/p/BkgZyQ4gRmT/?hl=en,Instagram,
g180629,https://archiv.fusion-festival.de/2018/2018/programm/band/index.html,Festival Lineup,
g180710,https://www.facebook.com/events/1763267123762366/,Facebook Event,
g180712,https://web.archive.org/web/20180714054212/http://festivalcite.ch/fr/programme-2018/spectacles/shortparis/,Festival Artist Page,Wayback
g180712,https://web.archive.org/web/20180714172740/http://festivalcite.ch/en/programme-2018/date/2018/7/12/,Festival Timetable,Wayback
g180714,https://www.bigrivers.nl/timetable/event/shortparis/,Festival Artist Page,
g180717,http://s3.amazonaws.com/quietus_production/images/articles/24642/Shortparis-Quietus-poster_1527006116_crop_550x784.jpg,Flyer,
g180717,https://worm.org/production/shortparis-ru-onmens-be/,Venue Event Page,
g180718,https://www.facebook.com/events/176982133103185/,Facebook Event,Wayback
g180718,https://occii.org/events/shortparis-repetitor/,Venue Event Page,Wayback
g180721,https://www.facebook.com/events/175205796512109/,Facebook Event,
g180809,http://haldernpop.com/wp-content/uploads/timetable-hpf-2018.pdf,Festival Timetable,
g180825,https://fadeinaacultural.com/entremuralhas-2/extramuralhas-2018/,Festival Lineup,
g180825,https://fadeinaacultural.files.wordpress.com/2018/02/shortparis-em2018.png?w=1024,Flyer,
g180921,https://kultuur.info/event/station-narva-2018/,Festival Lineup,archive.is
g180921,https://kultuur.info/site_media/uploads/archive/s/station-narva-2/picture_wphp_1__scaled.jpeg,Flyer,
g181027,https://pp.userapi.com/c849428/v849428348/9b9c6/LE9nT_cxaOQ.jpg,Flyer,
g181027,https://vk.com/shortparis_oktava,VK Event,Wayback
g181110,https://www.flickr.com/photos/kiraigigs/sets/72157675561364518/,Photo Gallery,
g181117,https://www.pohodafestival.sk/uploads/news/detail/ho99o9-prazsky-vyber-jana-kirschner-komorne-shortparis-vec-skrupo-s-kapelou-dybbuk-a-tittingur-na-koncerte-pre-vsimavych.1540475762.png,Flyer,
g181117,https://www.pohodafestival.sk/sk/novinky/shortparis-na-koncerte-pre-vsimavych,Venue Event Page,
g181208,https://www.facebook.com/events/767907606875451/,Facebook Event,Wayback
g181208,https://www.mailticket.it/evento/19865,Tickets,Wayback
g190128,https://hafenklang.com/programm.html?datum=2019-01-28&event_nr=61807&vorschau_flag=2,Venue Event Page,
g190131,https://www.facebook.com/events/dk-luksus/shortparis-xdzv%C3%B8nx-wroc%C5%82aw-sold-out/383697462400400/,Facebook Event,
g190201,https://www.facebook.com/events/chmury/sold-out-shortparis-12-chmury-warszawa/1138993589599221/,Facebook Event,
g190202,https://www.facebook.com/events/kirtim%C5%B3-kult%C5%ABros-centras/shortparis-ru-kkc-vilnius/298303120825027/,Facebook Event,
g190315,https://vk.com/shortparisinperm,VK Event,
g190316,https://vk.com/shortparisinchlb,VK Event,
g190317,https://vk.com/shortparisinekb,VK Event,
g190321,https://vk.com/shortparisinnsk,VK Event,
g190325,https://vk.com/event177862523,VK Event,
g190420,http://www.sobaka.ru/city/music/89387,Press Release,
g190425,https://www.facebook.com/events/klub-hydrozagadka/shortparis-lucidvox-254-hydrozagadka-warszawa/383789072190605/,Facebook Event,
g190426,https://www.facebook.com/events/urban-spree/shortparis-pop-noir-rus-sold-out/330232447469977/,Facebook Event,
g190426,https://www.urbanspree.com/event/sold-out-shortparis/,Venue Event Page,archive.is
g190427,https://www.facebook.com/events/335407733974441/,Facebook Event,
